"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"53c04b90e4b0e213eb0d36f1","10d3f43d-175b-4c0f-948d-71c2fe5005ce","PHYSICAL","shop","talon-necklace","Talon Necklace","<p class="""" style=""white-space:pre-wrap;"">Keep this chic necklace from our Talon Collection handy for days when you are feeling especially powerful. This hand-fabricated, forged and carved pendant carries a tough exterior, but finishes with a high-polish rendering it silky smooth to the touch.</p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p><p class="""" style=""white-space:pre-wrap;""><strong>Material: brass or sterling silver pendant,&nbsp;18""L sterling silver chain</strong></p>","SQ6975554","Metal","Brass","","","","","118.00","0.00","No","2","Necklaces","pendant necklace, Talon, brass, sterling silver, hand-carved, mixed metals","0.4","6.0","6.0","6.0","Yes","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5c4a9ee2b914431dadc28966/1577805055838/TLN.BR.NKL.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5dd2b918c3c9a97c5fe0ebfe/1577805063143/tln.ss.stdltt%3Ankl.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/56088309e4b01aa5871836b8/1577805069947/BD_TALONNKL_SS.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5c4a9eb140ec9aed508b4472/1577805077321/TLN.SS.NKL%25252B%252525281%25252529.jpg"
"","b86c2cfd-03ba-49ab-b217-e594169edeed","","","","","","SQ2574795","Metal","Sterling Silver","","","","","136.00","0.00","No","0","","","0.4","6.0","6.0","6.0","",""
"53c04db8e4b0c8c173cf5f16","72a565cc-a233-4db8-b140-266e3ba73ee7","PHYSICAL","shop","galaxia-ring","Galaxia Ring","<p class="""" style=""white-space:pre-wrap;"">Be careful not to lose yourself in the Galaxia Ring's dapped bowl filled with 24k gold leaf. This piece is known to enrapture wearers with its intergalactic love.</p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p><p class="""" style=""white-space:pre-wrap;""><strong>Material:&nbsp;sterling silver,&nbsp;24k gold-leaf set in resin</strong></p>","SQ0731931","Size","7.5","","","","","78.00","0.00","No","1","Rings, $100 and Under","statement ring, 24k gold leaf, resin, sterling silver, Galaxia","0.1","6.0","6.0","6.0","Yes","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5bd68870419202dce2754ea9/1577803959229/glx.r_1.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5dd2a7e305261b3d23afc939/1577803965718/glx.nkl%2Br.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f3c5b1f668a79737cd9dffe/1598059095542/GLX.R.3.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f3c5b3148b260455a8ed46b/1598059095340/GLX.R.1.jpg"
"","75ebdc32-362a-4323-ae59-7ff70da6a14e","","","","","","SQ0709602","Size","8","","","","","78.00","0.00","No","1","","","0.1","6.0","6.0","6.0","",""
"","20acacea-7b64-4dfd-a51d-968b840ec5b9","","","","","","SQ5774215","Size","Custom","","","","","78.00","0.00","No","Unlimited","","","0.1","6.0","6.0","6.0","",""
"53d17981e4b0962250a1b411","92d6d763-fca8-4b07-b09a-cd8662604fd7","PHYSICAL","shop","galaxia-necklace","Galaxia Pendant","<p class="""" style=""white-space:pre-wrap;"">A classic beauty, the Galaxia Pendant is a hand-fabricated sterling silver pendant and bale with resin-set 24k gold leaf.</p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p><p class="""" style=""white-space:pre-wrap;""><strong>Material: sterling silver, 24k gold leaf, 17""L sterling silver chain</strong></p>","SQ3894441","","","","","","","120.00","0.00","No","Unlimited","Necklaces","Galaxia, pendant necklace, resin, sterling silver, 24k gold leaf","0.2","6.0","6.0","6.0","Yes","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/567047e77086d761fdd9d146/1577810278940/BD-galaxia.ss.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5dd2a18b6ad8ea6615135774/1577810285164/glx.nkl%2Br.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/567061e87086d761fddb49f8/1577810291519/BD+galaxia.pnd3.jpg"
"53d93b7ce4b078cccdf7db9d","f7abb22e-f115-4457-ba8d-5034c66362c9","PHYSICAL","shop","skinny-notch-hoop","Skinny Notch Hoop","<p class="""" style=""white-space:pre-wrap;"">The Skinny Notch Hoops are a sleeker pair of statement earrings that all of you hoop stars are going to want in your arsenal. Not an ounce is lost in that heavy texture, though it's lightweight and ready for action. </p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p><p class="""" style=""white-space:pre-wrap;""><strong>Material:&nbsp;sterling silver,&nbsp;sterling silver posts &amp; nuts</strong></p>","SQ0310674","Metal","Sterling Silver","","","","","96.00","0.00","No","Unlimited","Earrings, $100 and Under","hoops, hoop earrings, Notch, statement earrings","0.5","6.0","6.0","6.0","Yes","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5d0ce4bcb0b95800012142cd/1577808675481/sknot.ss.hp.png https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5dd29a9fe6fd5c702978b39d/1577808669268/*not.ss.hp.jpg"
"5410bfb3e4b0da480524db90","73f36a58-8a53-4b42-a0e8-cdf8abce99a0","PHYSICAL","shop","xx-stud","XX Studs","<p style=""white-space:pre-wrap;"">From the Flatlands Collection comes a tessellation patterned stud. Made to slightly overlap the ear lobe, this boss earring will have you pulling your hair up to show off.</p><p style=""white-space:pre-wrap;""><strong>Material: sterling silver or 14k gold-filled with sterling silver posts &amp; nuts</strong></p>","SQ0278196","Metal","Sterling Silver","","","","","50.00","0.00","No","Unlimited","Earrings, $50 and Under","studs","0.1","6.0","6.0","6.0","No","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5511a91fe4b020af9099d389/1574081744037/LA_xSTUD_SS.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5c511dac352f5387a7cd99c6/1574081744038/FLTLD.XX.GF.STD1.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5c511d8ebba223702511af30/1574081744039/FLTLD.XX.GF.STD3.jpg"
"","ebbf280c-980a-4b79-9027-7dfcd3e46688","","","","","","SQ8610175","Metal","14k Gold-filled","","","","","120.00","0.00","No","Unlimited","","","0.1","6.0","6.0","6.0","",""
"5412043be4b0e025bfd2cda7","ccbd6d21-a189-4e39-be9a-cc0b275a27dd","PHYSICAL","shop","personal-rainbow-stud","Personal Rainbow Stud","<p style=""white-space:pre-wrap;"">These earrings encapsulate a simple happy shape. The shape of a rainbow, a smile, a doughnut split in two-&nbsp;you name it.&nbsp;Wear it up or down, right or left-whichever tickles your fancy.</p><p style=""white-space:pre-wrap;""><strong>Material:&nbsp;sterling silver or 14k gold-filled with sterling silver posts &amp; nuts</strong></p>","SQ4517761","Metal","Sterling Silver","","","","","46.00","0.00","No","Unlimited","","nostalgic shapes geometric simple stud daily-wear flirty fun","0.1","6.0","6.0","6.0","No","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5a561e66e4966b9db47e31bd/1548387139919/PRS.SS.STD.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5a561e6671c10bb8b05836b0/1548387085595/PRS.BR.STD.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/555116b7e4b03baa3e68b6e2/1574081822590/LA_PRS_FC_PS.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/55511739e4b0c072ca681894/1574081822590/LA_PRS_PS.jpg"
"","fae97a58-cdd7-4049-b8f6-aea38f3e5d9e","","","","","","SQ6354323","Metal","14k Gold-filled","","","","","92.00","0.00","No","Unlimited","","","0.1","6.0","6.0","6.0","",""
"541778fee4b0675e3a2f802c","6c29dd27-17d3-4416-af5e-c2fd137e45b1","PHYSICAL","shop","notch-ring","Notch Ring","<p class="""" style=""white-space:pre-wrap;"">The slender shape of the Notch Ring lends to a minimal look at first glance — perfect for everyday wear. Take a closer look at the subtle yet fine detail of the staggered notch carvings. These rings pack plenty of punch to stand alone but are also prime for stacking. Feeling adventurous? Mix and match metals for a rich statement look. Opt for a classic design that wears well as an alternative wedding band — available in finer metals.</p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p><p class="""" style=""white-space:pre-wrap;""><strong>Material:&nbsp;sterling silver, bronze, 10k gold, 14k gold</strong></p>","SQ0488264","Metal","Sterling Silver","","","","","62.00","0.00","No","Unlimited","Rings, $100 and Under","wedding band, Notch, sterling silver, bronze, 10k gold, 14k gold, stacking rings, stackable","0.1","6.0","6.0","6.0","Yes","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5a561b5c652dea613b2c60a7/1577806570208/NOT.SS.BR.R.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f4078f0fd699801ae3a7843/1598060794490/NOT.R_ST.STKR.GF.R.png https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f4e86bec6507a7a05c7f218/1598981831307/IMG_3592.JPEG https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f4e86cdde11693fefc319cd/1598981874649/IMG_3859.JPG"
"","51fd53ae-8ab1-46b1-91ad-ab7bf1528d7e","","","","","","SQ1598697","Metal","10k Gold","","","","","195.00","0.00","No","Unlimited","","","0.1","6.0","6.0","6.0","",""
"","6730f4ef-bc23-401a-9ac0-184e6dae70dd","","","","","","SQ1435098","Metal","14k Gold","","","","","320.00","0.00","No","Unlimited","","","0.1","6.0","6.0","6.0","",""
"5419cc01e4b07990c7fe1899","06c0fe79-d508-4ce1-90b6-a1a714986cb7","PHYSICAL","shop","t-stud","T-Stud","<p class="""" style=""white-space:pre-wrap;"">The T-Stud is based on Tetris —&nbsp;a favorite nostalgic building video game from the ‘90s. T-Stud is a keystone accessory.</p><p class="""" style=""white-space:pre-wrap;""><strong>Material:&nbsp;sterling silver or 14k gold-filled with sterling silver posts &amp; nuts</strong></p>","SQ6816848","Metal","Sterling Silver","","","","","48.00","0.00","No","2","Earrings, $50 and Under","studs","0.1","6.0","6.0","6.0","Yes","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5a872c30c83025fb2e2d943b/1548386918979/TSTUD%252BSS.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5c5ae1a46e9a7f6e46607132/1598061616818/FLTLD.T.GF.STD.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/552434cbe4b031e90a8f0a24/1515791134357/LA-TSTUD1.jpg"
